psp_fld_l2_tds_wf	epoch	ns		epoch	Corrected UTC time of the start of the collected wave-form burst in TT2000		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1V2_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1V2_Engineering_mV	TDS wave-form burst time series for the high-gain difference of V1-V2 (Ch3) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3V4_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3V4_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain difference of V3-V4 (Ch1) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3V4_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3V4_Engineering_mV	TDS wave-form burst time series for the high-gain difference of V3-V4 (Ch1) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1234_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1234_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain sum of V1+V2+V3+V4 (Ch2) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1234_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1234_Engineering_mV	TDS wave-form burst time series for the high-gain sum of V1+V2+V3+V4 (Ch2) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Engineering_nT	nT		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Engineering_nT	[NO PLOTS] TDS wave-form burst time series for the high-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering nT)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Engineering_nT	nT		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Engineering_nT	[NO PLOTS] TDS wave-form burst time series for the high-gain SCM MF sensor (Ch5) NOT corrected for frequency response (engineering nT)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Engineering_nT	nT		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Engineering_nT	[NO PLOTS] TDS wave-form burst time series for the low-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering nT)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain SCM MF sensor (Ch5) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the low-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1LG_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the low-gain V1 sensor (Ch3) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2LG_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the low-gain V2 sensor (Ch5) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3LG_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the low-gain V3 sensor (Ch1) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4LG_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the low-gain V4 sensor (Ch2) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5LG_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the low-gain V5 sensor (Ch4) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Engineering_nT_f	nT		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Engineering_nT	TDS wave-form burst time series for the high-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering nT)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Engineering_nT_f	nT		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Engineering_nT	TDS wave-form burst time series for the high-gain SCM MF sensor (Ch5) NOT corrected for frequency response (engineering nT)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Engineering_nT_f	nT		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Engineering_nT	TDS wave-form burst time series for the low-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering nT)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Engineering_mV	TDS wave-form burst time series for the high-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Engineering_mV	TDS wave-form burst time series for the high-gain SCM MF sensor (Ch5) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Engineering_mV	TDS wave-form burst time series for the low-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1LG_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1LG_Engineering_mV	TDS wave-form burst time series for the low-gain V1 sensor (Ch3) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2LG_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2LG_Engineering_mV	TDS wave-form burst time series for the low-gain V2 sensor (Ch5) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3LG_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3LG_Engineering_mV	TDS wave-form burst time series for the low-gain V3 sensor (Ch1) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4LG_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4LG_Engineering_mV	TDS wave-form burst time series for the low-gain V4 sensor (Ch2) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5LG_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5LG_Engineering_mV	TDS wave-form burst time series for the low-gain V5 sensor (Ch4) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_Physical_Units_Valid_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_Physical_Units_Valid_Flag	[NO PLOTS] Flag indicates that frequency corrected physical units are available for burst time series		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain V1 sensor (Ch1) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain V2 sensor (Ch2) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain V3 sensor (Ch3) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain V4 sensor (Ch4) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain V5 sensor (Ch5) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1V2_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1V2_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain difference of V1-V2 (Ch3) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3V4_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3V4_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain difference of V3-V4 (Ch1) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1234_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1234_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain sum of V1+V2+V3+V4 (Ch2) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Physical_nT	nT		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Physical_nT	[NO PLOTS] TDS wave-form burst time series for the high-gain SCM MF sensor (Ch4) corrected for frequency response (physical nT)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Physical_nT	nT		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Physical_nT	[NO PLOTS] TDS wave-form burst time series for the high-gain SCM MF sensor (Ch5) corrected for frequency response (physical nT)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Physical_nT	nT		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Physical_nT	[NO PLOTS] TDS wave-form burst time series for the low-gain SCM MF sensor (Ch4) corrected for frequency response (physical nT)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain SCM MF sensor (Ch4) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain SCM MF sensor (Ch5) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the low-gain SCM MF sensor (Ch4) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1LG_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1LG_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the low-gain V1 sensor (Ch3) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2LG_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2LG_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the low-gain V2 sensor (Ch5) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3LG_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3LG_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the low-gain V3 sensor (Ch1) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4LG_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4LG_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the low-gain V4 sensor (Ch2) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5LG_Physical_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5LG_Physical_mV	[NO PLOTS] TDS wave-form burst time series for the low-gain V5 sensor (Ch4) corrected for frequency response (physical mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SWEAP_Counts			PSP_FLD_L2_TDS_WF_Burst_Time_Series_SWEAP_Counts	[NO PLOTS] The TDS wave-form burst time series for SWEAP (Ch0) - the values are positive integers (GE 0) returned as a real from the SWEAP particle count channel (counts)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SWEAP_Counts_f			PSP_FLD_L2_TDS_WF_Burst_Time_Series_SWEAP_Counts	The TDS wave-form burst time series for SWEAP (Ch0) - the values are positive integers (GE 0) returned as a real from the SWEAP particle count channel (counts)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_N_Bursts_Today			PSP_FLD_L2_TDS_WF_N_Bursts_Today	Total count of TDS multi-channel wave-form bursts in this CDF (records)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Version			PSP_FLD_L2_TDS_WF_Version	TDS wave-form burst telemetry format version number		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Start_Time_ASCII			PSP_FLD_L2_TDS_WF_Burst_Start_Time_ASCII	Corrected UTC time of the start of the burst in an easy to read 26 character string		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_ID			PSP_FLD_L2_TDS_WF_Burst_ID	Event number for this burst		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Quality	Arbitrary		PSP_FLD_L2_TDS_WF_Burst_Quality	Overall quality for this burst (arbitrary units - used for burst selection)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Quality_Algorithm_Name			PSP_FLD_L2_TDS_WF_Burst_Quality_Algorithm_Name	[LIST/CREATIONs only] ASCII string giving the flight software algorithm in use for burst quality determination		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Type_Name			PSP_FLD_L2_TDS_WF_Burst_Type_Name	[LIST/CREATIONs only] Indicates that the burst is a Quality, Honesty or Promptly burst (8 character string)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_N_Samples_per_Channel			PSP_FLD_L2_TDS_WF_N_Samples_per_Channel	Number of samples per channel		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_N_Samples_per_Channel_MAX			PSP_FLD_L2_TDS_WF_N_Samples_per_Channel_MAX	Maximum number of samples allowed per channel (always 262,144)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Start_Time_UR8	d		PSP_FLD_L2_TDS_WF_Burst_Start_Time_UR8	Corrected UTC time of the start of the burst in traditional TMlib UR8 time (days)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Start_Time_UNIX	s		PSP_FLD_L2_TDS_WF_Burst_Start_Time_UNIX	Time of the start of the burst in UNIX time derived from the corrected UTC (seconds)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Start_Time_TT2000	ns		PSP_FLD_L2_TDS_WF_Burst_Start_Time_TT2000	Burst start time in corrected UTC TT2000 time (ns)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_Times_TT2000	ns		PSP_FLD_L2_TDS_WF_Burst_Time_Series_Times_TT2000	Corrected (UTC-based) absolute time for each of the time series samples (ns)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_Times_TT2000_f	ns		PSP_FLD_L2_TDS_WF_Burst_Time_Series_Times_TT2000	Flattened Corrected (UTC-based) absolute time for each of the time series samples (ns)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Total_SWEAP_Counts			PSP_FLD_L2_TDS_WF_Burst_Total_SWEAP_Counts	The total number of SWEAP particle counts in this TDS wave-form burst time series (Ch0) - the value is a positive integer (GE 0) returned as a real8 from the SWEAP particle counting channel (counts)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Total_SWEAP_Counting_Rate	CPS		PSP_FLD_L2_TDS_WF_Burst_Total_SWEAP_Counting_Rate	The observed SWEAP particle counting rate (Ch0) during this burst (counts per second)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SWEAP_Status			PSP_FLD_L2_TDS_WF_SWEAP_Status	SWEAP Status word (coded)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SWEAP_Electron_Mask			PSP_FLD_L2_TDS_WF_SWEAP_Electron_Mask	SWEAP SWEAP electron anode selection mask (coded)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SWEAP_Ion_Mask			PSP_FLD_L2_TDS_WF_SWEAP_Ion_Mask	SWEAP SWEAP ion anode selection mask (coded)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SWEAP_Start	s		PSP_FLD_L2_TDS_WF_SWEAP_Start	Time since the last SWEAP sweep start (seconds)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_All_Channels_Exist_Flag			PSP_FLD_L2_TDS_WF_Burst_All_Channels_Exist_Flag	Flag indicates that all six burst channels exist for this burst		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SWEAP_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_SWEAP_Exists_Flag	Flag indicates that this TDS burst exists for the SWEAP particle counter		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1V2_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1V2_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3V4_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3V4_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1234_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1234_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM5_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_SCM4LG_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1LG_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1LG_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2LG_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2LG_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3LG_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3LG_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4LG_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4LG_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5LG_Exists_Flag			PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5LG_Exists_Flag	Flag indicates that this TDS burst exists for this sensor		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Trigger_Source_Name			PSP_FLD_L2_TDS_WF_Trigger_Source_Name	The current burst trigger channel source number (8 character string)		support_data											
