psp_fld_l2_aeb	epoch_aeb1	ns		epoch_aeb1	Time in TT2000 for AEB1 data		support_data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_ZFL_TEMP	&#176;C		psp_fld_l2_aeb1_ZFL_TEMP	Measured temperature of the floating power supply for the V5 sensor.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_AEB2_TEMP	&#176;C		psp_fld_l2_aeb2_AEB2_TEMP	Measured temperature of the AEB2 circuit board.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_PA3_TEMP	&#176;C		psp_fld_l2_aeb2_PA3_TEMP	Measured temperature of the V3 preamplifier.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_PA4_TEMP	&#176;C		psp_fld_l2_aeb2_PA4_TEMP	Measured temperature of the V4 preamplifier.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V3_RBIAS			psp_fld_l2_aeb2_V3_RBIAS	Index of selected bias resistor for V3 bias current.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V3_SHIELD_VOLT	V		psp_fld_l2_aeb2_V3_SHIELD_VOLT	Measured bias voltage applied to the V3 shield.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V3_SHIELD_VOLT_DAC	V		psp_fld_l2_aeb2_V3_SHIELD_VOLT_DAC	Commanded bias voltage applied to the V3 shield.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V3_SHIELD_VOLT_DAC_counts			psp_fld_l2_aeb2_V3_SHIELD_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V3 shield.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V3_STUB_VOLT	V		psp_fld_l2_aeb2_V3_STUB_VOLT	Measured bias voltage applied to the V3 stub.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V3_STUB_VOLT_DAC	V		psp_fld_l2_aeb2_V3_STUB_VOLT_DAC	Commanded bias voltage applied to the V3 stub.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V3_STUB_VOLT_DAC_counts			psp_fld_l2_aeb2_V3_STUB_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V3 stub.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V3_WHIP_CURR	&#181;A		psp_fld_l2_aeb2_V3_WHIP_CURR	Bias current applied to the V3 whip, derived from measured bias voltage.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V3_WHIP_CURR_DAC	&#181;A		psp_fld_l2_aeb2_V3_WHIP_CURR_DAC	Bias current applied to the V3 whip, derived from commanded bias voltage.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V3_WHIP_VOLT	V		psp_fld_l2_aeb2_V3_WHIP_VOLT	Measured bias voltage applied to the V3 whip.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V3_WHIP_VOLT_DAC	V		psp_fld_l2_aeb2_V3_WHIP_VOLT_DAC	Commanded bias voltage applied to the V3 whip.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V3_WHIP_VOLT_DAC_counts			psp_fld_l2_aeb2_V3_WHIP_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V3 whip.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V4_RBIAS			psp_fld_l2_aeb2_V4_RBIAS	Index of selected bias resistor for V4 bias current.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V4_SHIELD_VOLT	V		psp_fld_l2_aeb2_V4_SHIELD_VOLT	Measured bias voltage applied to the V4 shield.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V4_SHIELD_VOLT_DAC	V		psp_fld_l2_aeb2_V4_SHIELD_VOLT_DAC	Commanded bias voltage applied to the V4 shield.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V4_SHIELD_VOLT_DAC_counts			psp_fld_l2_aeb2_V4_SHIELD_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V4 shield.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V4_STUB_VOLT	V		psp_fld_l2_aeb2_V4_STUB_VOLT	Measured bias voltage applied to the V4 stub.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V4_STUB_VOLT_DAC	V		psp_fld_l2_aeb2_V4_STUB_VOLT_DAC	Commanded bias voltage applied to the V4 stub.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V4_STUB_VOLT_DAC_counts			psp_fld_l2_aeb2_V4_STUB_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V4 stub.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V4_WHIP_CURR	&#181;A		psp_fld_l2_aeb2_V4_WHIP_CURR	Bias current applied to the V4 whip, derived from measured bias voltage.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V4_WHIP_CURR_DAC	&#181;A		psp_fld_l2_aeb2_V4_WHIP_CURR_DAC	Bias current applied to the V4 whip, derived from commanded bias voltage.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V4_WHIP_VOLT	V		psp_fld_l2_aeb2_V4_WHIP_VOLT	Measured bias voltage applied to the V4 whip.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V4_WHIP_VOLT_DAC	V		psp_fld_l2_aeb2_V4_WHIP_VOLT_DAC	Commanded bias voltage applied to the V4 whip.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_V4_WHIP_VOLT_DAC_counts			psp_fld_l2_aeb2_V4_WHIP_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V4 whip.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_XFL_CURR	&#181;A		psp_fld_l2_aeb2_XFL_CURR	Current draw of the floating power supply for the V3 and V4 antennas.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_XFL_TEMP	&#176;C		psp_fld_l2_aeb2_XFL_TEMP	Measured temperature of the floating power supply for the V3 and V4 antennas.		data											
psp_fld_l2_aeb	epoch_quality_flags	ns		epoch_quality_flags	Time for the FIELDS quality flag		support_data											
psp_fld_l2_aeb	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
