ASTRO	CDF_FLOAT	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc34	psp_fld_l2_dfb_dbm_dvdc34	L2 DC Burst Differential Voltage from Sensors 3 and 4		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Burst Waveform from Sensors 3 and 4	ignore_data	no_plot		psp_fld_l2_dfb_dbm_dvdc_time_series_seconds			
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc34_rms	psp_fld_l2_dfb_dbm_dvdc34_rms	L2 DC Burst Differential Voltage from Sensors 3 and 4 rms value		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Sensor 3/4 rms	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc34_max	psp_fld_l2_dfb_dbm_dvdc34_max	L2 DC Burst Differential Voltage from Sensors 3 and 4 max value		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Sensor 3/4 max	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc34_min	psp_fld_l2_dfb_dbm_dvdc34_min	L2 DC Burst Differential Voltage from Sensors 3 and 4 min value		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Sensor 3/4 min	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc34_median	psp_fld_l2_dfb_dbm_dvdc34_median	L2 DC Burst Differential Voltage from Sensors 3 and 4 median value		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Sensor 3/4 median	data	time_series					
ASTRO	CDF_FLOAT	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdcz	psp_fld_l2_dfb_dbm_dvdcz	L2 DC Burst Differential Voltage from Sensor 5		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Burst Waveform from Sensor 5	ignore_data	no_plot		psp_fld_l2_dfb_dbm_dvdc_time_series_seconds			
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdcz_rms	psp_fld_l2_dfb_dbm_dvdcz_rms	L2 DC Burst Differential Voltage from Sensor 5 rms value		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Sensor-5 rms	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdcz_max	psp_fld_l2_dfb_dbm_dvdcz_max	L2 DC Burst Differential Voltage from Sensor 5 max value		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Sensor-5 max	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdcz_min	psp_fld_l2_dfb_dbm_dvdcz_min	L2 DC Burst Differential Voltage from Sensor 5 min value		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Sensor-5 min	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdcz_median	psp_fld_l2_dfb_dbm_dvdcz_median	L2 DC Burst Differential Voltage from Sensor 5 median value		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Sensor-5 median	data	time_series					
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	epoch_quality_flags	epoch_quality_flags	Time for the FIELDS quality flag		ns	2020-01-24T06:00:00.000000000	2020-01-24T12:00:00.000000000	2010-01-01T00:00:00.000000000	2050-01-01T00:00:00.000000000	9999-12-31T23:59:59.999999999		I22	epoch	support_data					INCREASE	
ASTRO	CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_quality_flags	quality_flags	FIELDS quality flag	FIELDS quality flags. This is a bitwise variable, meaning that multiple flags can be set for a single time, by adding flag values. Current flagged values are: 1: FIELDS antenna bias sweep, 2: PSP thruster firing, 4: SCM Calibration, 8: PSP rotations for MAG calibration (MAG rolls), 16: FIELDS MAG calibration sequence, 32: SWEAP SPC in electron mode, 64: PSP Solar limb sensor (SLS) test. 128: PSP spacecraft is off umbra pointing. A value of zero corresponds to no set flags. Not all flags are relevant to all FIELDS data products, refer to notes in the CDF metadata and on the FIELDS SOC website for information on how the various flags impact FIELDS data. Additional flagged items may be added in the future.				0	255	4294967295	epoch_quality_flags	I10	flag	support_data						
ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	epoch_psp_fld_l2_dfb_dbm_scmlg	epoch_psp_fld_l2_dfb_dbm_scmlg	Time of first data point for L2 AC Burst Search Coil		ns	2018-08-13T12:00:00.000000000	2018-08-13T18:00:00.000000000	2010-01-01T00:00:00.000000000	2050-01-01T00:00:00.000000000	9999-12-31T23:59:59.999999999		I22	epoch	support_data					INCREASE	
ASTRO	CDF_DOUBLE	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlg_sample_rate	psp_fld_l2_dfb_dbm_scmlg_sample_rate	Sample rate for L2 AC Burst Search Coil		Samples/s			292.969	150000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3		support_data	time_series					
ASTRO	CDF_TT2000	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlg_time_series_TT2000	psp_fld_l2_dfb_dbm_scmlg_time_series_TT2000	[List/Create only in CDAWeb] L2 AC Burst Search Coil Waveform Time in TT2000		ns	2018-08-13T12:00:00.000000000	2018-08-13T18:00:00.000000000	2010-01-01T00:00:00.000000000	2050-01-01T00:00:00.000000000	9999-12-31T23:59:59.999999999	epoch_psp_fld_l2_dfb_dbm_scmlg	I22	Epoch	ignore_data	no_plot					
ASTRO	CDF_DOUBLE	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlg_time_series_seconds	psp_fld_l2_dfb_dbm_scmlg_time_series_seconds	[List/Create only in CDAWeb] L2 AC Burst Search Coil Waveform Time in Seconds (relative to start of burst)		s			0.0	1789.57	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F16.8	Time	ignore_data	no_plot		psp_fld_l2_dfb_dbm_scmlg_time_series_TT2000			
ASTRO	CDF_FLOAT	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgu	psp_fld_l2_dfb_dbm_scmu	[List/Create only in CDAWeb] L2 AC Burst Search Coil from Bu axis		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	Burst Waveform fromBu axis	ignore_data	no_plot		psp_fld_l2_dfb_dbm_scmlg_time_series_seconds			
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgu_rms	psp_fld_l2_dfb_dbm_scmlgu_rms	L2 AC Low Gain Burst Search Coil from Bu axis rms value		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	lgu_rms	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgu_max	psp_fld_l2_dfb_dbm_scmlgu_max	L2 AC Low Gain Burst Search Coil from Bu axis max value		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	lgu_max	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgu_min	psp_fld_l2_dfb_dbm_scmlgu_min	L2 AC Low Gain Burst Search Coil from Bu axis min value		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	lgu_min	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgu_median	psp_fld_l2_dfb_dbm_scmlgu_median	L2 AC Low Gain Burst Search Coil from Bu axis median value		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	lgu_median	data	time_series					
ASTRO	CDF_FLOAT	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgv	psp_fld_l2_dfb_dbm_scmv	[List/Create only in CDAWeb] L2 AC Burst Search Coil from Bv axis		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	Burst Waveform fromBv axis	ignore_data	no_plot		psp_fld_l2_dfb_dbm_scmlg_time_series_seconds			
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgv_rms	psp_fld_l2_dfb_dbm_scmlgv_rms	L2 AC Low Gain Burst Search Coil from Bv axis rms value		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	lgv_rms	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgv_max	psp_fld_l2_dfb_dbm_scmlgv_max	L2 AC Low Gain Burst Search Coil from Bv axis max value		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	lgv_max	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgv_min	psp_fld_l2_dfb_dbm_scmlgv_min	L2 AC Low Gain Burst Search Coil from Bv axis min value		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	lgv_min	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgv_median	psp_fld_l2_dfb_dbm_scmlgv_median	L2 AC Low Gain Burst Search Coil from Bv axis median value		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	lgv_median	data	time_series					
ASTRO	CDF_FLOAT	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgw	psp_fld_l2_dfb_dbm_scmw	[List/Create only in CDAWeb] L2 AC Burst Search Coil from Bw axis		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	Burst Waveform fromBw axis	ignore_data	no_plot		psp_fld_l2_dfb_dbm_scmlg_time_series_seconds			
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgw_rms	psp_fld_l2_dfb_dbm_scmlgw_rms	L2 AC Low Gain Burst Search Coil from Bw axis rms value		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	lgw_rms	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgw_max	psp_fld_l2_dfb_dbm_scmlgw_max	L2 AC Low Gain Burst Search Coil from Bw axis max value		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	lgw_max	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgw_min	psp_fld_l2_dfb_dbm_scmlgw_min	L2 AC Low Gain Burst Search Coil from Bw axis min value		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	lgw_min	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmlgw_median	psp_fld_l2_dfb_dbm_scmlgw_median	L2 AC Low Gain Burst Search Coil from Bw axis median value		nT			-3000.0	3000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmlg	F10.3	lgw_median	data	time_series					
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	epoch_psp_fld_l2_dfb_dbm_scmhg	epoch_psp_fld_l2_dfb_dbm_scmhg	Time of first data point for L2 AC Burst Search Coil		ns	2018-08-13T12:00:00.000000000	2018-08-13T18:00:00.000000000	2010-01-01T00:00:00.000000000	2050-01-01T00:00:00.000000000	9999-12-31T23:59:59.999999999		I22	epoch	support_data					INCREASE	
ASTRO	CDF_DOUBLE	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhg_sample_rate	psp_fld_l2_dfb_dbm_scmhg_sample_rate	Sample rate for L2 AC Burst Search Coil		Samples/s			292.969	150000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3		support_data	time_series					
ASTRO	CDF_TT2000	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhg_time_series_TT2000	psp_fld_l2_dfb_dbm_scmhg_time_series_TT2000	[List/Create only in CDAWeb] L2 AC Burst Search Coil Waveform Time in TT2000		ns	2018-08-13T12:00:00.000000000	2018-08-13T18:00:00.000000000	2010-01-01T00:00:00.000000000	2050-01-01T00:00:00.000000000	9999-12-31T23:59:59.999999999	epoch_psp_fld_l2_dfb_dbm_scmhg	I22	Epoch	ignore_data	no_plot					
ASTRO	CDF_DOUBLE	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhg_time_series_seconds	psp_fld_l2_dfb_dbm_scmhg_time_series_seconds	[List/Create only in CDAWeb] L2 AC Burst Search Coil Waveform Time in Seconds (relative to start of burst)		s			0.0	1789.57	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F16.8	Time	ignore_data	no_plot		psp_fld_l2_dfb_dbm_scmhg_time_series_TT2000			
ASTRO	CDF_FLOAT	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgu	psp_fld_l2_dfb_dbm_scmu	[List/Create only in CDAWeb] L2 AC Burst Search Coil from Bu axis		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	Burst Waveform fromBu axis	ignore_data	no_plot		psp_fld_l2_dfb_dbm_scmhg_time_series_seconds			
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgu_rms	psp_fld_l2_dfb_dbm_scmhgu_rms	L2 AC High Gain Burst Search Coil from Bu axis rms value		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	hgu_rms	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgu_max	psp_fld_l2_dfb_dbm_scmhgu_max	L2 AC High Gain Burst Search Coil from Bu axis max value		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	hgu_max	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgu_min	psp_fld_l2_dfb_dbm_scmhgu_min	L2 AC High Gain Burst Search Coil from Bu axis min value		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	hgu_min	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgu_median	psp_fld_l2_dfb_dbm_scmhgu_median	L2 AC High Gain Burst Search Coil from Bu axis median value		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	hgu_median	data	time_series					
ASTRO	CDF_FLOAT	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgv	psp_fld_l2_dfb_dbm_scmv	[List/Create only in CDAWeb] L2 AC Burst Search Coil from Bv axis		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	Burst Waveform fromBv axis	ignore_data	no_plot		psp_fld_l2_dfb_dbm_scmhg_time_series_seconds			
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgv_rms	psp_fld_l2_dfb_dbm_scmhgv_rms	L2 AC High Gain Burst Search Coil from Bv axis rms value		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	hgv_rms	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgv_max	psp_fld_l2_dfb_dbm_scmhgv_max	L2 AC High Gain Burst Search Coil from Bv axis max value		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	hgv_max	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgv_min	psp_fld_l2_dfb_dbm_scmhgv_min	L2 AC High Gain Burst Search Coil from Bv axis min value		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	hgv_min	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgv_median	psp_fld_l2_dfb_dbm_scmhgv_median	L2 AC High Gain Burst Search Coil from Bv axis median value		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	hgv_median	data	time_series					
ASTRO	CDF_FLOAT	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgw	psp_fld_l2_dfb_dbm_scmw	[List/Create only in CDAWeb] L2 AC Burst Search Coil from Bw axis		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	Burst Waveform fromBw axis	ignore_data	no_plot		psp_fld_l2_dfb_dbm_scmhg_time_series_seconds			
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgw_rms	psp_fld_l2_dfb_dbm_scmhgw_rms	L2 AC High Gain Burst Search Coil from Bw axis rms value		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	hgw_rms	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgw_max	psp_fld_l2_dfb_dbm_scmhgw_max	L2 AC High Gain Burst Search Coil from Bw axis max value		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	hgw_max	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgw_min	psp_fld_l2_dfb_dbm_scmhgw_min	L2 AC High Gain Burst Search Coil from Bw axis min value		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	hgw_min	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_dfb_dbm_scmhgw_median	psp_fld_l2_dfb_dbm_scmhgw_median	L2 AC High Gain Burst Search Coil from Bw axis median value		nT			-200.0	200.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_scmhg	F10.3	hgw_median	data	time_series					
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	epoch_quality_flags	epoch_quality_flags	Time for the FIELDS quality flag		ns	2018-08-13T12:00:00.000000000	2018-08-13T18:00:00.000000000	2010-01-01T00:00:00.000000000	2050-01-01T00:00:00.000000000	9999-12-31T23:59:59.999999999		I22	epoch	support_data					INCREASE	
ASTRO	CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_scm	psp_fld_l2_quality_flags	quality_flags	FIELDS quality flag	FIELDS quality flags. This is a bitwise variable, meaning that multiple flags can be set for a single time, by adding flag values. Current flagged values are: 1: FIELDS antenna bias sweep, 2: PSP thruster firing, 4: SCM Calibration, 8: PSP rotations for MAG calibration (MAG rolls), 16: FIELDS MAG calibration sequence, 32: SWEAP SPC in electron mode, 64: PSP Solar limb sensor (SLS) test. 128: PSP spacecraft is off umbra pointing. A value of zero corresponds to no set flags. Not all flags are relevant to all FIELDS data products, refer to notes in the CDF metadata and on the FIELDS SOC website for information on how the various flags impact FIELDS data. Additional flagged items may be added in the future.				0	255	4294967295	epoch_quality_flags	I10	flag	support_data						
ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_vac	epoch_psp_fld_l2_dfb_dbm_vac	epoch_psp_fld_l2_dfb_dbm_vac	Time of first data point for L2 AC Burst Single Ended Voltage		ns	2020-06-13T06:00:00.000000000	2020-06-13T12:00:00.000000000	2010-01-01T00:00:00.000000000	2050-01-01T00:00:00.000000000	9999-12-31T23:59:59.999999999		I22	epoch	support_data					INCREASE	
