cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	units	units_conversion	name	description	measurement_type	parameter_keyword	type	quantity	qualifier	instrument_id_000	instrument_id_001	coordinate_system_name	coordinate_representation	element__name_0	element__name_1	element__name_2	element__name_3
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_dv34hg	psp_fld_l2_dfb_ac_spec_dV34hg_saturation_flags			psp_fld_l2_dfb_ac_spec_dV34hg_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_dv34hg	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_dv34hg	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmdlfhg	epoch_ac_spec_SCMdlfhg	ns	1.0e-9&gt;s	epoch_ac_spec_SCMdlfhg	Time for the SCMDLFHG spectra data		support_data											
CDF_FLOAT	1	1:[43]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_scmdlfhg	psp_fld_l2_dfb_ac_spec_SCMdlfhg_frequency_bins	Hz		psp_fld_l2_dfb_ac_spec_SCMdlfhg_frequency_bins	Frequency bins for channel SCMDLFHG		support_data											
CDF_FLOAT	1	1:[43]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_scmdlfhg	psp_fld_l2_dfb_ac_spec_SCMdlfhg	nT^2/Hz	1.0e-18&gt;T^2/Hz	psp_fld_l2_dfb_ac_spec_SCMdlfhg	L2 Power Spectra for channel SCMDLFHG		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmdlfhg	psp_fld_l2_dfb_ac_spec_SCMdlfhg_saturation_flags			psp_fld_l2_dfb_ac_spec_SCMdlfhg_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmdlfhg	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmdlfhg	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_FLOAT	1	2:[3,3]	F/TT	OOOOO	psp_fld_l2_dfb_ac_spec_scmdlfhg	scm_rotation_matrix_def_uvw			scm_rotation_matrix_def_uvw	Rotation Matrix from (d,e,f) to (u,v,w) coordinates (see TEXT metadata)		metadata											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmelfhg	epoch_ac_spec_SCMelfhg	ns	1.0e-9&gt;s	epoch_ac_spec_SCMelfhg	Time for the SCMELFHG spectra data		support_data											
CDF_FLOAT	1	1:[43]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_scmelfhg	psp_fld_l2_dfb_ac_spec_SCMelfhg_frequency_bins	Hz		psp_fld_l2_dfb_ac_spec_SCMelfhg_frequency_bins	Frequency bins for channel SCMELFHG		support_data											
CDF_FLOAT	1	1:[43]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_scmelfhg	psp_fld_l2_dfb_ac_spec_SCMelfhg	nT^2/Hz	1.0e-18&gt;T^2/Hz	psp_fld_l2_dfb_ac_spec_SCMelfhg	L2 Power Spectra for channel SCMELFHG		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmelfhg	psp_fld_l2_dfb_ac_spec_SCMelfhg_saturation_flags			psp_fld_l2_dfb_ac_spec_SCMelfhg_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmelfhg	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmelfhg	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_FLOAT	1	2:[3,3]	F/TT	OOOOO	psp_fld_l2_dfb_ac_spec_scmelfhg	scm_rotation_matrix_def_uvw			scm_rotation_matrix_def_uvw	Rotation Matrix from (d,e,f) to (u,v,w) coordinates (see TEXT metadata)		metadata											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmflfhg	epoch_ac_spec_SCMflfhg	ns	1.0e-9&gt;s	epoch_ac_spec_SCMflfhg	Time for the SCMFLFHG spectra data		support_data											
CDF_FLOAT	1	1:[43]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_scmflfhg	psp_fld_l2_dfb_ac_spec_SCMflfhg_frequency_bins	Hz		psp_fld_l2_dfb_ac_spec_SCMflfhg_frequency_bins	Frequency bins for channel SCMFLFHG		support_data											
CDF_FLOAT	1	1:[43]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_scmflfhg	psp_fld_l2_dfb_ac_spec_SCMflfhg	nT^2/Hz	1.0e-18&gt;T^2/Hz	psp_fld_l2_dfb_ac_spec_SCMflfhg	L2 Power Spectra for channel SCMFLFHG		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmflfhg	psp_fld_l2_dfb_ac_spec_SCMflfhg_saturation_flags			psp_fld_l2_dfb_ac_spec_SCMflfhg_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmflfhg	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmflfhg	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_FLOAT	1	2:[3,3]	F/TT	OOOOO	psp_fld_l2_dfb_ac_spec_scmflfhg	scm_rotation_matrix_def_uvw			scm_rotation_matrix_def_uvw	Rotation Matrix from (d,e,f) to (u,v,w) coordinates (see TEXT metadata)		metadata											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmmf	epoch_ac_spec_SCMmf	ns	1.0e-9&gt;s	epoch_ac_spec_SCMmf	Time for the SCMMF spectra data		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_scmmf	psp_fld_l2_dfb_ac_spec_SCMmf_frequency_bins	Hz		psp_fld_l2_dfb_ac_spec_SCMmf_frequency_bins	Frequency bins for channel SCMMF		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_scmmf	psp_fld_l2_dfb_ac_spec_SCMmf	nT^2/Hz	1.0e-18&gt;T^2/Hz	psp_fld_l2_dfb_ac_spec_SCMmf	L2 Power Spectra for channel SCMMF		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmmf	psp_fld_l2_dfb_ac_spec_SCMmf_saturation_flags			psp_fld_l2_dfb_ac_spec_SCMmf_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmmf	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_scmmf	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_FLOAT	1	2:[3,3]	F/TT	OOOOO	psp_fld_l2_dfb_ac_spec_scmmf	scm_rotation_matrix_def_uvw			scm_rotation_matrix_def_uvw	Rotation Matrix from (d,e,f) to (u,v,w) coordinates (see TEXT metadata)		metadata											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_v5	epoch_ac_spec_V5	ns	1.0e-9&gt;s	epoch_ac_spec_V5	Time for the V5 spectra data		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_v5	psp_fld_l2_dfb_ac_spec_V5_frequency_bins	Hz		psp_fld_l2_dfb_ac_spec_V5_frequency_bins	Frequency bins for channel V5		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_v5	psp_fld_l2_dfb_ac_spec_V5	V^2/Hz		psp_fld_l2_dfb_ac_spec_V5	L2 Power Spectra for channel V5		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_v5	psp_fld_l2_dfb_ac_spec_V5_saturation_flags			psp_fld_l2_dfb_ac_spec_V5_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_v5	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_v5	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_bpf_dv34	epoch	ns	1.0e-9&gt;s	epoch	Time for DC Bandpass Filter data		support_data											
CDF_FLOAT	1	1:[15]	T/T	OOOOO	psp_fld_l2_dfb_dc_bpf_dv34	psp_fld_l2_dfb_dc_bpf_dV34_frequency_bins	Hz		frequency_bins	Frequency bins for channel dV34		support_data											
CDF_FLOAT	1	1:[15]	T/T	OOOOO	psp_fld_l2_dfb_dc_bpf_dv34	psp_fld_l2_dfb_dc_bpf_dV34_avg	V		psp_fld_l2_dfb_dc_bpf_dV34_avg	L2 DC Band-pass filter average power for channel dV34		data											
CDF_FLOAT	1	1:[15]	T/T	OOOOO	psp_fld_l2_dfb_dc_bpf_dv34	psp_fld_l2_dfb_dc_bpf_dV34_peak	V		psp_fld_l2_dfb_dc_bpf_dV34_peak	L2 DC Band-pass filter peak power for channel dV34		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_bpf_dv34	psp_fld_l2_dfb_dc_bpf_dV34_saturation_flags			psp_fld_l2_dfb_dc_bpf_dV34_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_bpf_dv34	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_bpf_dv34	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_bpf_scmulfhg	epoch	ns	1.0e-9&gt;s	epoch	Time for DC Bandpass Filter data		support_data											
CDF_FLOAT	1	1:[15]	T/T	OOOOO	psp_fld_l2_dfb_dc_bpf_scmulfhg	psp_fld_l2_dfb_dc_bpf_SCMulfhg_frequency_bins	Hz		frequency_bins	Frequency bins for channel SCMulfhg		support_data											
CDF_FLOAT	1	1:[15]	T/T	OOOOO	psp_fld_l2_dfb_dc_bpf_scmulfhg	psp_fld_l2_dfb_dc_bpf_SCMulfhg_avg	nT	1.0e-9&gt;T	psp_fld_l2_dfb_dc_bpf_SCMulfhg_avg	L2 DC Band-pass filter average power for channel SCMulfhg		data											
CDF_FLOAT	1	1:[15]	T/T	OOOOO	psp_fld_l2_dfb_dc_bpf_scmulfhg	psp_fld_l2_dfb_dc_bpf_SCMulfhg_peak	nT	1.0e-9&gt;T	psp_fld_l2_dfb_dc_bpf_SCMulfhg_peak	L2 DC Band-pass filter peak power for channel SCMulfhg		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_bpf_scmulfhg	psp_fld_l2_dfb_dc_bpf_SCMulfhg_saturation_flags			psp_fld_l2_dfb_dc_bpf_SCMulfhg_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_bpf_scmulfhg	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_bpf_scmulfhg	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_dv12hg	epoch_dc_spec_dV12hg	ns	1.0e-9&gt;s	epoch_dc_spec_dV12hg	Time for the DV12HG spectra data		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_dc_spec_dv12hg	psp_fld_l2_dfb_dc_spec_dV12hg_frequency_bins	Hz		psp_fld_l2_dfb_dc_spec_dV12hg_frequency_bins	Frequency bins for channel DV12HG		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_dc_spec_dv12hg	psp_fld_l2_dfb_dc_spec_dV12hg	V^2/Hz		psp_fld_l2_dfb_dc_spec_dV12hg	L2 Power Spectra for channel DV12HG		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_dv12hg	psp_fld_l2_dfb_dc_spec_dV12hg_saturation_flags			psp_fld_l2_dfb_dc_spec_dV12hg_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_dv12hg	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_dv12hg	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_scmdlfhg	epoch_dc_spec_SCMdlfhg	ns	1.0e-9&gt;s	epoch_dc_spec_SCMdlfhg	Time for the SCMDLFHG spectra data		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_dc_spec_scmdlfhg	psp_fld_l2_dfb_dc_spec_SCMdlfhg_frequency_bins	Hz		psp_fld_l2_dfb_dc_spec_SCMdlfhg_frequency_bins	Frequency bins for channel SCMDLFHG		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_dc_spec_scmdlfhg	psp_fld_l2_dfb_dc_spec_SCMdlfhg	nT^2/Hz	1.0e-18&gt;T^2/Hz	psp_fld_l2_dfb_dc_spec_SCMdlfhg	L2 Power Spectra for channel SCMDLFHG		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_scmdlfhg	psp_fld_l2_dfb_dc_spec_SCMdlfhg_saturation_flags			psp_fld_l2_dfb_dc_spec_SCMdlfhg_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_scmdlfhg	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_scmdlfhg	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_FLOAT	1	2:[3,3]	F/TT	OOOOO	psp_fld_l2_dfb_dc_spec_scmdlfhg	scm_rotation_matrix_def_uvw			scm_rotation_matrix_def_uvw	Rotation Matrix from (d,e,f) to (u,v,w) coordinates (see TEXT metadata)		metadata											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_scmelfhg	epoch_dc_spec_SCMelfhg	ns	1.0e-9&gt;s	epoch_dc_spec_SCMelfhg	Time for the SCMELFHG spectra data		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_dc_spec_scmelfhg	psp_fld_l2_dfb_dc_spec_SCMelfhg_frequency_bins	Hz		psp_fld_l2_dfb_dc_spec_SCMelfhg_frequency_bins	Frequency bins for channel SCMELFHG		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_dc_spec_scmelfhg	psp_fld_l2_dfb_dc_spec_SCMelfhg	nT^2/Hz	1.0e-18&gt;T^2/Hz	psp_fld_l2_dfb_dc_spec_SCMelfhg	L2 Power Spectra for channel SCMELFHG		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_scmelfhg	psp_fld_l2_dfb_dc_spec_SCMelfhg_saturation_flags			psp_fld_l2_dfb_dc_spec_SCMelfhg_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_scmelfhg	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_scmelfhg	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_FLOAT	1	2:[3,3]	F/TT	OOOOO	psp_fld_l2_dfb_dc_spec_scmelfhg	scm_rotation_matrix_def_uvw			scm_rotation_matrix_def_uvw	Rotation Matrix from (d,e,f) to (u,v,w) coordinates (see TEXT metadata)		metadata											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_scmflfhg	epoch_dc_spec_SCMflfhg	ns	1.0e-9&gt;s	epoch_dc_spec_SCMflfhg	Time for the SCMFLFHG spectra data		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_dc_spec_scmflfhg	psp_fld_l2_dfb_dc_spec_SCMflfhg_frequency_bins	Hz		psp_fld_l2_dfb_dc_spec_SCMflfhg_frequency_bins	Frequency bins for channel SCMFLFHG		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_dc_spec_scmflfhg	psp_fld_l2_dfb_dc_spec_SCMflfhg	nT^2/Hz	1.0e-18&gt;T^2/Hz	psp_fld_l2_dfb_dc_spec_SCMflfhg	L2 Power Spectra for channel SCMFLFHG		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_scmflfhg	psp_fld_l2_dfb_dc_spec_SCMflfhg_saturation_flags			psp_fld_l2_dfb_dc_spec_SCMflfhg_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_scmflfhg	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dc_spec_scmflfhg	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_FLOAT	1	2:[3,3]	F/TT	OOOOO	psp_fld_l2_dfb_dc_spec_scmflfhg	scm_rotation_matrix_def_uvw			scm_rotation_matrix_def_uvw	Rotation Matrix from (d,e,f) to (u,v,w) coordinates (see TEXT metadata)		metadata											
